Column,Example
optionA,So static electricity buildup is minimized
optionB,So they will not damage nearby structures with RF energy
optionC,So they will receive more sky waves and fewer ground waves
optionD,So they will not direct RF energy toward people in nearby structures
correctOption,D
explanation,"So they will not direct RF energy toward people in nearby structures is correct because high-gain antennas concentrate RF in a narrow beam, and you want that beam above people, not through their living spaces. Memory Trick: High gain = high mount so the main beam clears the buildings."
BankQuestionID,B-003-021-010
,
question,"For best RF safety, where should the ends and centre of a dipole antenna be located?"
optionA,As high as possible to prevent people from coming in contact with the antenna
optionB,Near or over moist ground so RF energy will be radiated away from the ground
optionC,As close to the transmitter as possible so RF energy will be concentrated near the transmitter
optionD,Close to the ground so simple adjustments can be easily made without climbing a ladder
correctOption,A
explanation,As high as possible to prevent people from coming in contact with the antenna is correct because it minimizes RF exposure and reduces the risk of shock or burns from touching the wire. Memory Trick: Dipole safety = &quot;out of hand&quot; height.
BankQuestionID,B-003-021-011
,
question,What term describes a circuit designed to increase the amplitude of a signal?
optionA,Multiplier
optionB,Amplifier
optionC,Modulator
optionD,Oscillator
correctOption,B
explanation,"Amplifier is correct because its primary function is to make a signal larger in voltage, current, or power. Memory Trick: &quot;Amp&quot; in amplifier = &quot;amplify&quot; = make bigger."
BankQuestionID,B-004-001-001
,
question,"If an amplifier becomes non-linear, the output signal would:"
optionA,cause oscillations
optionB,overload the power supply
optionC,become distorted
optionD,be reduced to zero
correctOption,C
explanation,"Become distorted is correct because in a non-linear amplifier, the output no longer follows the input proportionally, creating unwanted harmonics and distortion. Memory Trick: Linear = clean; non-linear = &quot;bent&quot; and distorted."
BankQuestionID,B-004-001-002
,
question,"To increase the level of very weak radio signals from an antenna, you would use:"
optionA,an RF oscillator
optionB,an audio oscillator
optionC,an audio amplifier
optionD,an RF amplifier
correctOption,D
explanation,"An RF amplifier is correct because it is designed to amplify radio-frequency signals coming from the antenna before further processing. Memory Trick: RF in, RF up &mdash; that is the RF amplifier&apos;s job."
BankQuestionID,B-004-001-003
,
question,To increase the level of very weak signals from a microphone you would use:
optionA,an audio amplifier
optionB,an RF oscillator
optionC,an RF amplifier
optionD,an audio oscillator
correctOption,A
explanation,"An audio amplifier is correct because a microphone produces low-level audio signals that must be boosted to a usable level. Memory Trick: Mic = audio; therefore, &quot;audio amp&quot; is the helper."
BankQuestionID,B-004-001-004
,
question,What range of frequencies does the speech amplifier of an amateur radio transceiver typically process?
optionA,40 Hz to 40 000 Hz
optionB,300 Hz to 3 000 Hz
optionC,3 Hz to 300 Hz
optionD,300 Hz to 1 000 Hz
correctOption,B
explanation,300 Hz to 3 000 Hz is correct because that range contains most of the energy needed for intelligible human speech on communications circuits. Memory Trick: Remember &quot;300 to 3000&quot; as the classic voice-communications band.
BankQuestionID,B-004-001-005
,
question,"Apart from power and current, which signal property can amplifiers be specifically designed to increase?"
optionA,Frequency
optionB,Linearity
optionC,Voltage
optionD,Phase
correctOption,C
explanation,Voltage is correct because some amplifiers (like audio or RF voltage amplifiers) are designed primarily to increase signal voltage rather than current. Memory Trick: V = I &times; R &mdash; and some stages are mainly boosting the V.
BankQuestionID,B-004-001-006
,
question,The increase in signal level by an amplifier is called:
optionA,attenuation
optionB,amplitude
optionC,modulation
optionD,gain
correctOption,D
explanation,Gain is correct because it describes how much larger the output is compared to the input. Memory Trick: Think &quot;gain = get more&quot; from the signal.
BankQuestionID,B-004-001-007
,
question,A device with gain has the property of:
optionA,amplification
optionB,attenuation
optionC,oscillation
optionD,modulation
correctOption,A
explanation,Amplification is correct because a device with gain makes the signal bigger; attenuation would make it smaller. Memory Trick: Gain and amplification always go together.
BankQuestionID,B-004-001-008
,
question,A device labelled &quot;Gain = 10 dB&quot; is likely to be an:
optionA,audio fader
optionB,amplifier
optionC,attenuator
optionD,oscillator
correctOption,B
explanation,"Amplifier is correct because a positive gain value (like +10 dB) means the device increases signal level; attenuators typically have negative dB values. Memory Trick: &quot;+ dB&quot; = amplifier, &quot;- dB&quot; = attenuator."
BankQuestionID,B-004-001-009
,
question,What term describes the ratio of output power to DC input power of an amplifier?
optionA,Dynamic range
optionB,Loss factor
optionC,Efficiency
optionD,Current gain
correctOption,C
explanation,"Efficiency is correct because it tells you what fraction of the DC input power is turned into useful RF output power instead of heat. Memory Trick: High efficiency = more watts out, fewer watts as heat."
BankQuestionID,B-004-001-010
,
question,What is the result of excessive positive feedback in an amplifier stage?
optionA,Distortion is minimized
optionB,Frequency response is flattened
optionC,Voltage gain is reduced
optionD,Oscillations appear
correctOption,D
explanation,Oscillations appear is correct because too much positive feedback can cause the amplifier to feed on its own output and act like an RF or audio oscillator. Memory Trick: Positive feedback loop = &quot;runaway&quot; oscillation.
BankQuestionID,B-004-001-011
,
question,A diode is in series in the positive power lead to a transceiver. What is its purpose?
optionA,Reverse polarity protection
optionB,Protect against voltage transients
optionC,Permit AC operation
optionD,Overcurrent protection
correctOption,A
explanation,"Reverse polarity protection is correct because the diode will block current if the supply is accidentally connected backwards, helping to prevent damage. Memory Trick: &quot;One-way gate&quot; so power flows only in the safe direction."
BankQuestionID,B-004-002-001
,
question,One important application for diodes is recovering information from transmitted signals. This is referred to as:
optionA,biasing
optionB,detection
optionC,regeneration
optionD,conversion
correctOption,B
explanation,"Detection is correct because the diode can rectify and &quot;detect&quot; the modulation envelope from a radio-frequency carrier, turning RF back into audio or data. Memory Trick: Detector diode = &quot;demodulator&quot; for AM signals."
BankQuestionID,B-004-002-002
,
question,The primary purpose of a Zener diode is to:
optionA,boost the power supply voltage
optionB,provide a path through which current can flow
optionC,regulate or maintain a constant voltage
optionD,provide a voltage phase shift
correctOption,C
explanation,"Regulate or maintain a constant voltage is correct because a Zener diode conducts in reverse at a specific breakdown voltage, holding that voltage nearly constant. Memory Trick: &quot;Zener = zero drift&quot; voltage reference."
BankQuestionID,B-004-002-003
,
question,The action of changing alternating current to direct current is called:
optionA,amplification
optionB,transformation
optionC,modulation
optionD,rectification
correctOption,D
explanation,"Rectification is correct because diodes or rectifier circuits convert AC into pulsating DC, which can then be filtered. Memory Trick: &quot;Rectifier&quot; = &quot;straightens&quot; AC into one-way current."
BankQuestionID,B-004-002-004
,
question,The electrodes of a semiconductor diode are known as:
optionA,anode and cathode
optionB,gate and source
optionC,collector and base
optionD,cathode and drain
correctOption,A
explanation,"Anode and cathode is correct because those are the two terminals of any diode. Current flows from anode to cathode (conventional current), while electrons flow from cathode to anode. Memory Trick: ""A → C"" (Anode to Cathode) — just like ABC."
BankQuestionID,B-004-002-005
,
question,"If alternating current is applied to the anode of a diode, what would you expect to see at the cathode?"
optionA,Pulsating alternating current
optionB,Pulsating direct current
optionC,No signal
optionD,Steady direct current
correctOption,B
explanation,"Pulsating direct current is correct because a diode only passes one half of the AC waveform, creating a rectified (pulsating DC) output. Memory Trick: Diode = “one-way”; AC becomes “half-AC.”"
BankQuestionID,B-004-002-006
,
question,"In a semiconductor diode, electrons flow from:"
optionA,source to drain
optionB,base to collector
optionC,cathode to anode
optionD,anode to cathode
correctOption,C
explanation,Electrons flow from cathode to anode in a diode because electrons move from negative to positive. Memory Trick: Electrons are negative → they head toward the positive side (anode).
BankQuestionID,B-004-002-007
,
question,"What semiconductor device glows different colours, depending upon its chemical composition?"
optionA,A fluorescent bulb
optionB,A neon bulb
optionC,A vacuum diode
optionD,A light-emitting diode
correctOption,D
explanation,"A light-emitting diode is correct because different semiconductor materials produce different photon energies, resulting in different colours. Memory Trick: LED = ""Light Every Device"" — always the glowing one."
BankQuestionID,B-004-002-008
,
question,Which property of a semiconductor diode permits its use for reverse-polarity protection?
optionA,It conducts in one direction only
optionB,It has a high response speed
optionC,Its peak inverse voltage is below 1 volt
optionD,It has high forward resistance
correctOption,A
explanation,It conducts in one direction only is correct because that prevents damage when the polarity is reversed — the diode simply blocks current. Memory Trick: Diode = electrical “one-way door.”
BankQuestionID,B-004-002-009
,
question,"In order for a diode to conduct, it must be:"
optionA,reverse biased
optionB,forward biased
optionC,close coupled
optionD,enhanced
correctOption,B
explanation,Forward biased is correct because current flows only when the anode is more positive than the cathode. Reverse bias stops conduction. Memory Trick: “Forward = Flow.”
BankQuestionID,B-004-002-010
,
question,Which of these components can amplify a small signal using low voltages?
optionA,Thyristor
optionB,Silicon-controlled rectifier
optionC,Bipolar transistor
optionD,Variable resistor
correctOption,C
explanation,"A bipolar transistor can amplify a small signal using low voltages because it operates as a linear amplifier in low-power circuits. The other components are switching or control devices and cannot provide linear amplification. Memory Trick: Think &quot;BJT = Boosts Just a Tiny signal.&quot;
"
BankQuestionID,B-004-003-001
,
question,What term describes the most basic semiconductor component used to amplify?
optionA,Varactor
optionB,P-N junction
optionC,Diode
optionD,Transistor
correctOption,D
explanation,Transistor is correct because amplification is one of its fundamental functions. Memory Trick: “Transistors TRANSfer power.”
BankQuestionID,B-004-003-002
,
question,What are the three electrodes of a bipolar transistor?
optionA,"Collector, emitter and base"
optionB,"Drain, base and source"
optionC,"Collector, source and drain"
optionD,"Gate, source and drain"
correctOption,A
explanation,"Collector, emitter and base are correct because these are the standard terminals on all BJTs. Memory Trick: C–B–E (sounds like “CB Radio”—easy to remember)."
BankQuestionID,B-004-003-003
,
question,"If a low-level signal is placed at the input to a transistor and a higher level of the signal is produced at the output, what is this effect called?"
optionA,Rectification
optionB,Amplification
optionC,Detection
optionD,Modulation
correctOption,B
explanation,Amplification is correct because the transistor boosts the input signal’s power. Memory Trick: Amplification = “amp it up.”
BankQuestionID,B-004-003-004
,
question,What prevents the substitution of a PNP transistor with an NPN transistor?
optionA,The electrodes are labelled differently
optionB,The frequency response would be limited
optionC,The polarities are reversed
optionD,The current gain would be too low
correctOption,C
explanation,"The polarities are reversed is correct because PNP and NPN require opposite biasing. They cannot be swapped without redesign. Memory Trick: NPN = arrow “Not Pointing iN,” PNP = arrow “Pointing iN.”"
BankQuestionID,B-004-003-005
,
question,"A semiconductor device is labelled as a ""general purpose audio NPN device."" What is it?"
optionA,Field-effect transistor
optionB,Triac
optionC,Thyristor
optionD,Bipolar transistor
correctOption,D
explanation,Bipolar transistor is correct because “NPN” refers specifically to BJT construction. Memory Trick: NPN → BJT.
BankQuestionID,B-004-003-006
,
question,What are the two basic types of bipolar transistors?
optionA,NPN and PNP
optionB,Diode and triode
optionC,Varicap and varistor
optionD,P channel and N channel
correctOption,A
explanation,NPN and PNP are the two standard BJT types. Memory Trick: “N–P–N and P–N–P” — mirror opposites.
BankQuestionID,B-004-003-007
,
question,Which of these operating conditions is most likely to cause a transistor to fail?
optionA,Cut-off
optionB,Excessive heat
optionC,Excessive light
optionD,Saturation
correctOption,B
explanation,Excessive heat is correct because heat destroys semiconductor junctions. Memory Trick: Semiconductors hate heat.
BankQuestionID,B-004-003-008
,
question,Which electrode of the bipolar transistor controls the output current?
optionA,Collector
optionB,Source
optionC,Base
optionD,Emitter
correctOption,C
explanation,Base is correct because tiny variations in base current control much larger collector-emitter currents. Memory Trick: Base = “boss” of the transistor.
BankQuestionID,B-004-003-009
,
question,"When a bipolar transistor is used as a switch, which electrode controls its state?"
optionA,Emitter
optionB,Collector
optionC,Gate
optionD,Base
correctOption,D
explanation,Base is correct because applying current drives the transistor into either ON (saturation) or OFF (cut-off). Memory Trick: Flip the switch → flip the base.
BankQuestionID,B-004-003-010
,
question,"If a transistor is alternatively driven into saturation and cut-off, what does it behave like?"
optionA,A switch
optionB,An inverter
optionC,An amplifier
optionD,A timer
correctOption,A
explanation,"A switch is correct because saturation = ON, cut-off = OFF. Memory Trick: Two states = switch."
BankQuestionID,B-004-003-011
,
question,"When considering the material between source and drain, what are two basic types of field-effect transistors (FET)?"
optionA,Gallium and arsenide
optionB,N channel and P channel
optionC,NPN and PNP
optionD,Silicon and germanium
correctOption,B
explanation,N channel and P channel is correct because these describe the polarity of the charge carriers in the channel. Memory Trick: FETs are &quot;channel&quot; devices.
BankQuestionID,B-004-004-001
,
question,"Which semiconductor device has a gate, a drain and a source?"
optionA,Bipolar transistor
optionB,Unijunction transistor
optionC,Field-effect transistor
optionD,Point-contact transistor
correctOption,C
explanation,Field-effect transistor is correct because these are the standard FET terminal names. Memory Trick: FET = “G–D–S.”
BankQuestionID,B-004-004-002
,
question,"In a field-effect transistor, which electrode controls the resistance of the device's channel?"
optionA,Drain
optionB,Source
optionC,Collector
optionD,Gate
correctOption,D
explanation,"Gate is correct because its voltage changes the channel width, controlling current flow. Memory Trick: Gate = “controls the flow like a water gate.”"
BankQuestionID,B-004-004-003
,
question,"In a field-effect transistor, from which electrode do charge carriers enter the channel?"
optionA,Source
optionB,Gate
optionC,Drain
optionD,Emitter
correctOption,A
explanation,Source is correct because by definition charge carriers “start” from the source and flow through the channel toward the drain. Memory Trick: Think “source = starting point.”
BankQuestionID,B-004-004-004
,
question,"In a field-effect transistor, from which electrode do charge carriers leave the channel?"
optionA,Gate
optionB,Drain
optionC,Collector
optionD,Source
correctOption,B
explanation,"Drain is correct because charge carriers flow through the channel from source to drain, where they are “drained away.” Memory Trick: Source → channel → Drain (like water)."
BankQuestionID,B-004-004-005
,
question,Why is a field-effect transistor considered a high impedance device?
optionA,It functions at low voltage
optionB,It functions at high current
optionC,The gate never conducts current
optionD,It uses high resistance semiconductors
correctOption,C
explanation,"The gate never conducts current is correct because the FET gate is insulated or reverse-biased, so almost no current flows into it, giving it a very high input impedance. Memory Trick: FET gate = “voltage control, not current hungry.”"
BankQuestionID,B-004-004-006
,
question,What is the control electrode in a field-effect transistor?
optionA,Source
optionB,Drain
optionC,Base
optionD,Gate
correctOption,D
explanation,Gate is correct because changing the gate voltage controls the channel’s conductivity and therefore the drain current. Memory Trick: A “gate” controls what gets through.
BankQuestionID,B-004-004-007
,
question,"In a field-effect transistor, what circuit parameter change causes the current to increase?"
optionA,The reverse bias is decreased
optionB,The reverse bias is increased
optionC,A forward bias is applied
optionD,A forward bias is removed
correctOption,A
explanation,"The reverse bias is decreased is correct because reducing the reverse bias on the gate makes the channel less pinched off, allowing more current to flow. Memory Trick: Less reverse bias = less “pinch,” more current."
BankQuestionID,B-004-004-008
,
question,Which electrode of a bipolar transistor corresponds to the source of a field-effect transistor?
optionA,Collector
optionB,Emitter
optionC,Base
optionD,Drain
correctOption,B
explanation,"Emitter is correct because, like the FET source, it is the terminal from which charge carriers enter the device region. Memory Trick: Source ↔ Emitter = “starting side” of the device."
BankQuestionID,B-004-004-009
,
question,Which electrode of a bipolar transistor corresponds to the drain of a field-effect transistor?
optionA,Source
optionB,Emitter
optionC,Collector
optionD,Base
correctOption,C
explanation,"Collector is correct because, like the FET drain, it is the terminal that “collects” carriers after they pass through the device region. Memory Trick: Drain ↔ Collector = “ending side” of the device."
BankQuestionID,B-004-004-010
,
question,"In a field-effect transistor, which two electrodes are connected to the ends of the channel?"
optionA,Source and gate
optionB,Gate and drain
optionC,Source and base
optionD,Source and drain
correctOption,D
explanation,"Source and drain is correct because the conductive channel is physically between these two terminals, with current flowing from source to drain. Memory Trick: Channel runs from S to D like a “Sidewalk.”"
BankQuestionID,B-004-004-011
,
question,What is one reason a triode vacuum tube might be used instead of a transistor in a circuit?
optionA,It may be able to handle higher power
optionB,It uses less current
optionC,It is much smaller
optionD,It uses lower voltages
correctOption,A
explanation,It may be able to handle higher power is correct because larger transmitting tubes can withstand high voltages and high RF power where many transistors cannot. Memory Trick: Think “big glass bottles = big power.”
BankQuestionID,B-004-005-001
,
question,Which two elements of a triode carry the output current?
optionA,Source and drain
optionB,Cathode and plate
optionC,Cathode and grid
optionD,Emitter and collector
correctOption,B
explanation,"Cathode and plate is correct because electrons are emitted by the cathode and collected by the plate (anode), forming the main current path. Memory Trick: C → P = current Path in a tube."
BankQuestionID,B-004-005-002
,
question,A feature common to triode tubes and transistors is that both:
optionA,dissipate heat when not conducting
optionB,use heat to cause electron movement
optionC,can amplify signals
optionD,have electrons drifting through a vacuum
correctOption,C
explanation,Can amplify signals is correct because both devices are active components that can provide gain. Memory Trick: Tubes and transistors both “turn small in → big out.”
BankQuestionID,B-004-005-003
,
question,Which electrode on a vacuum tube is operated with the highest positive voltage?
optionA,Collector
optionB,Cathode
optionC,Grid
optionD,Plate
correctOption,D
explanation,"Plate is correct because in normal operation the plate (anode) is at the highest positive potential to attract electrons from the cathode. Memory Trick: Plate pulls electrons, so it must be most positive."
BankQuestionID,B-004-005-004
,
question,Which semiconductor device has characteristics most similar to a triode vacuum tube?
optionA,Field-effect transistor
optionB,Triac
optionC,Thyristor
optionD,Bipolar transistor
correctOption,A
explanation,Field-effect transistor is correct because both triodes and FETs are voltage-controlled devices with a high-impedance control electrode (grid ↔ gate). Memory Trick: Grid ↔ Gate = “G to G.”
BankQuestionID,B-004-005-005
,
question,Which electrode of a vacuum triode is the control element?
optionA,Plate
optionB,Grid
optionC,Emitter
optionD,Cathode
correctOption,B
explanation,Grid is correct because small changes in grid voltage control the much larger plate current. Memory Trick: Grid “guards” the flow.
BankQuestionID,B-004-005-006
,
question,"In a vacuum tube, which electrode emits electrons?"
optionA,Collector
optionB,Plate
optionC,Cathode
optionD,Grid
correctOption,C
explanation,"Cathode is correct because it is heated (directly or indirectly) to emit electrons into the vacuum. Memory Trick: “Cat” throws (emits) electrons, plate catches them."
BankQuestionID,B-004-005-007
,
question,What is inside the envelope of a triode tube?
optionA,Argon
optionB,Air
optionC,Neon
optionD,A vacuum
correctOption,D
explanation,A vacuum is correct because removing air prevents collisions with gas molecules and allows electron flow to be controlled by the electrodes. Memory Trick: Vacuum tube literally needs a vacuum.
BankQuestionID,B-004-005-008
,
question,"What term describes a vacuum tube with a cathode, a single grid and a plate?"
optionA,Triode
optionB,Diode
optionC,Tetrode
optionD,Pentode
correctOption,A
explanation,"Triode is correct because it has three active elements: cathode, grid and plate. Memory Trick: “Tri” = three."
BankQuestionID,B-004-005-009
,
question,"On resistors with four colour bands, which colour band specifies the tolerance?"
optionA,First
optionB,Fourth
optionC,Third
optionD,Second
correctOption,B
explanation,"Fourth is correct because the last band in the 4-band code always indicates tolerance (for example, gold = ±5%). Memory Trick: “Last band = how accurate.”"
BankQuestionID,B-004-006-001
,
question,"On a resistor with four colour bands, what do the first three colour bands indicate?"
optionA,The power rating in watts
optionB,The resistance tolerance in percent
optionC,The value of the resistor in ohms
optionD,The resistance material
correctOption,C
explanation,"The value of the resistor in ohms is correct because the first two bands are digits and the third band is the multiplier. Memory Trick: 1st + 2nd = numbers, 3rd = how many zeros."
BankQuestionID,B-004-006-002
,
question,"On a resistor with four colour bands, what does the fourth colour band indicate?"
optionA,The value of the resistor in ohms
optionB,The power rating in watts
optionC,The resistance material
optionD,The resistance tolerance in percent
correctOption,D
explanation,The resistance tolerance in percent is correct because the fourth band shows how close the real value should be to the nominal value. Memory Trick: Think of the last band as the “trust band” — how much you can trust the printed value.
BankQuestionID,B-004-006-003
,
question,What are the possible values of a 100-ohm resistor with a 10% tolerance?
optionA,90 ohms to 110 ohms
optionB,90 ohms to 100 ohms
optionC,10 ohms to 100 ohms
optionD,80 ohms to 120 ohms
correctOption,A
explanation,"10% of 100 ohms is 10 ohms, so the resistor may vary from 100 - 10 = 90 ohms up to 100 + 10 = 110 ohms. Memory Trick: “10% of 100 = 10, so the range is 100 ± 10.”"
BankQuestionID,B-004-006-004
,
question,"On resistors with four colour bands, which colour band differentiates two resistors rated at 33 ohms and 39 ohms respectively?"
optionA,First
optionB,Second
optionC,Third
optionD,Fourth
correctOption,B
explanation,"The second band is the second digit of the resistor value. 33 = 3 & 3, 39 = 3 & 9 — only the second band changes. Memory Trick: “Second band = second digit.”"
BankQuestionID,B-004-006-005
,
question,"Out of the list of resistor tolerances below, which has the highest precision?"
optionA,10%
optionB,20%
optionC,0.10%
optionD,5%
correctOption,C
explanation,A lower percentage means a tighter tolerance. 0.10% is extremely precise. Memory Trick: “Small percent = small error.”
BankQuestionID,B-004-006-006
,
question,"Out of the list of resistor tolerances below, which has the lowest precision?"
optionA,0.10%
optionB,5%
optionC,10%
optionD,20%
correctOption,D
explanation,"20% tolerance means the value can vary the most, making it the least precise. Memory Trick: “Big percent = big wiggle room.”"
BankQuestionID,B-004-006-007
,
question,How does the resistance of a resistor change with rising ambient temperature?
optionA,It depends on its temperature coefficient
optionB,It increases
optionC,It remains constant
optionD,It decreases
correctOption,A
explanation,Some resistors rise in value with heat; others drop. The direction depends entirely on the temperature coefficient. Memory Trick: “TC decides the trend.”
BankQuestionID,B-004-006-008
,
question,Which resistor rating is specified as a given fraction per degree Celsius?
optionA,Ohmic value
optionB,Temperature coefficient
optionC,Tolerance
optionD,Power rating
correctOption,B
explanation,The temperature coefficient (TC) describes how resistance changes per °C. Memory Trick: “TC = Temperature Change.”
BankQuestionID,B-004-006-009
,
question,"On resistors with four colour bands, which colour band differentiates two resistors rated at 120 ohms and 1200 ohms respectively?"
optionA,Second
optionB,Fourth
optionC,Third
optionD,First
correctOption,C
explanation,The third band is the multiplier. 120 = 12 × 10¹; 1200 = 12 × 10² — only the multiplier changes. Memory Trick: “Third band = multiplier.”
BankQuestionID,B-004-006-010
,
question,"Given that red=2, violet=7 and yellow=4, what is the nominal value of a resistor whose colour code reads ""red,"" ""violet"" and ""yellow""?"
optionA,274 ohms
optionB,72 kilohms
optionC,27 megohms
optionD,270 kilohms
correctOption,D
explanation,"Digits: 2, 7 → ""27"". Multiplier yellow = ×10⁴ → 27 × 10,000 = 270,000 ohms = 270 kΩ. Memory Trick: “Yellow = four zeros.”"
BankQuestionID,B-004-006-011
,
question,"If a dial marked in megahertz shows a reading of 3.525 MHz, what would it show if it were marked in kilohertz?"
optionA,3 525 kHz
optionB,35.25 kHz
optionC,3 525 000 kHz
optionD,352.5 kHz
correctOption,A
explanation,"1 MHz = 1000 kHz, so multiply by 1000: 3.525 MHz → 3525 kHz. Memory Trick: “MHz to kHz = ×1000.”"
BankQuestionID,B-005-001-001
,
question,"If an ammeter marked in amperes is used to measure a 3000-milliampere current, what reading would it show?"
optionA,0.03 amperes
optionB,3 amperes
optionC,0.003 amperes
optionD,0.3 amperes
correctOption,B
explanation,3000 mA = 3 A (since 1000 mA = 1 A). Memory Trick: “milli → divide by 1000.”
BankQuestionID,B-005-001-002
,
question,How many hertz is 1 kHz?
optionA,100 Hz
optionB,10 000 Hz
optionC,1 000 Hz
optionD,10 Hz
correctOption,C
explanation,1 kHz = 1000 Hz. Memory Trick: “kilo = thousand.”
BankQuestionID,B-005-001-003
,
question,How many microfarads is 1 000 000 picofarads?
optionA,10 microfarads
optionB,0.01 microfarads
optionC,0.001 microfarads
optionD,1 microfarad
correctOption,D
explanation,"1,000,000 pF = 1 µF. (1 µF = 1,000,000 pF). Memory Trick: “Six zeros = one micro.”"
BankQuestionID,B-005-001-004
,
question,"If you have a hand-held transceiver that puts out 500 milliwatts, how many watts would this be?"
optionA,0.5 watts
optionB,5 watts
optionC,50 watts
optionD,0.05 watts
correctOption,A
explanation,Convert mW to W by dividing by 1000: 500 mW = 0.5 W. Memory Trick: “milliwatts / 1000 = watts.”
BankQuestionID,B-005-001-005
,
question,A kilohm is:
optionA,10 ohms
optionB,1000 ohms
optionC,0.1 ohms
optionD,0.001 ohms
correctOption,B
explanation,“kilo” means 1000 → 1 kΩ = 1000 Ω. Memory Trick: “k = thousand.”
BankQuestionID,B-005-001-006
,
question,How many megahertz is 7040 kHz?
optionA,70.40 MHz
optionB,0.074 MHz
optionC,7.040 MHz
optionD,0.740 MHz
correctOption,C
explanation,Divide by 1000: 7040 kHz → 7.040 MHz. Memory Trick: “kHz to MHz = ÷1000.”
BankQuestionID,B-005-001-007
,
question,A current of one quarter ampere may be written as:
optionA,2.5 milliamperes
optionB,0.25 milliamperes
optionC,250 microamperes
optionD,250 milliamperes
correctOption,D
explanation,0.25 A = 250 mA. Memory Trick: “Quarter amp → 250 mA.”
BankQuestionID,B-005-001-008
,
question,How many millivolts equal two volts?
optionA,2 000 mV
optionB,0.000 002 mV
optionC,2 000 000 mV
optionD,0.002 mV
correctOption,A
explanation,1 V = 1000 mV → 2 V = 2000 mV. Memory Trick: “Volts × 1000 = millivolts.”
BankQuestionID,B-005-001-009
,
question,How can a frequency in megahertz be stated in gigahertz?
optionA,Multiply by 1 000 000
optionB,Divide by 1 000
optionC,Multiply by 1 000
optionD,Divide by 1 000 000
correctOption,B
explanation,"1 GHz = 1000 MHz, so MHz → GHz by dividing by 1000. Memory Trick: “GHz is bigger, so divide.”"
BankQuestionID,B-005-001-010
,
question,How many millihenries equal 10 000 microhenries?
optionA,1 millihenry
optionB,1000 millihenries
optionC,10 millihenries
optionD,100 millihenries
correctOption,C
explanation,"1000 µH = 1 mH → 10,000 µH = 10 mH. Memory Trick: “Move the decimal three places for micro → milli.”"
BankQuestionID,B-005-001-011
,
question,Which of these groups lists three good electrical conductors?
optionA,"Gold, silver and wood"
optionB,"Copper, aluminum and paper"
optionC,"Copper, gold and mica"
optionD,"Gold, silver and aluminum"
correctOption,D
explanation,"Gold, silver and aluminum all conduct electricity extremely well; the other materials listed include insulators. Memory Trick: “Metals shine, and metals conduct.”"
BankQuestionID,B-005-002-001
,
question,Which of these groups lists three good electrical insulators?
optionA,"Glass, air and porcelain"
optionB,"Plastic, wood and carbon"
optionC,"Teflon, mica and aluminum"
optionD,"Wood, copper and porcelain"
correctOption,A
explanation,"Glass, air and porcelain are all very poor conductors, so they act as good insulators. Memory Trick: Think of power lines: glass, air and porcelain are used around them, not metals."
BankQuestionID,B-005-002-002
,
question,What do we call the flow of electric charge in a circuit?
optionA,Capacitance
optionB,Current
optionC,Voltage
optionD,Resistance
correctOption,B
explanation,"Current is the name given to the flow of electric charge through a conductor. Memory Trick: Picture ""a river of charge"" flowing = current."
BankQuestionID,B-005-002-003
,
question,What is the best conductor among the following materials?
optionA,Silicon
optionB,Aluminum
optionC,Copper
optionD,Carbon
correctOption,C
explanation,Copper has very low resistance and is widely used for wiring because it conducts better than the other options. Memory Trick: House wires = copper.
BankQuestionID,B-005-002-004
,
question,Which of these types of materials readily allows the flow of electric current?
optionA,Insulator
optionB,Semiconductor
optionC,Dielectric
optionD,Conductor
correctOption,D
explanation,"A conductor is specifically defined as a material that allows electric current to flow easily. Memory Trick: ""Conductor"" conducts."
BankQuestionID,B-005-002-005
,
question,What electrical property causes an object to conduct electricity very well?
optionA,Low resistance
optionB,Low reluctance
optionC,Low capacitance
optionD,Low admittance
correctOption,A
explanation,"The lower the resistance, the easier current flows, so low resistance means good conduction. Memory Trick: Small R = easy I."
BankQuestionID,B-005-002-006
,
question,"The letter ""R"" is the symbol for:"
optionA,reactance
optionB,resistance
optionC,impedance
optionD,reluctance
correctOption,B
explanation,"In basic circuit formulas and diagrams, R is used to represent resistance. Memory Trick: R for Resistance."
BankQuestionID,B-005-002-007
,
question,What is the inverse of resistance?
optionA,Reluctance
optionB,Permeability
optionC,Conductance
optionD,Reactance
correctOption,C
explanation,Conductance is defined as 1 / resistance and measures how easily current flows. Memory Trick: Big conductance = small resistance.
BankQuestionID,B-005-002-008
,
question,What is a voltage drop?
optionA,Any point in a circuit that has zero voltage
optionB,The difference in voltage at the output terminals of a transformer
optionC,The voltage output of a step-down transformer
optionD,The loss of voltage caused by the flow of current through a circuit
correctOption,D
explanation,"As current flows through a resistance, some voltage is ""used up"" across it; this is called voltage drop. Memory Trick: V drops across things in the path."
BankQuestionID,B-005-002-009
,
question,The resistance of a conductor changes with:
optionA,temperature
optionB,voltage
optionC,current
optionD,humidity
correctOption,A
explanation,"Resistance depends on temperature; metals usually increase in resistance as temperature rises. Memory Trick: Hot wire, higher R."
BankQuestionID,B-005-002-010
,
question,Which term describes the direction of current in a DC circuit?
optionA,Phase
optionB,Polarity
optionC,Polarization
optionD,Directivity
correctOption,B
explanation,"Polarity indicates which side is positive and which is negative, and therefore the direction of DC current. Memory Trick: Polarity = plus/minus direction."
